Play #,State,Action,Reward,Next State,Terminated
1,"[-0.00343199  1.4144745  -0.347629    0.1579585   0.00398351  0.07874316
  0.          0.        ]",0,0.345095150298192,"[-0.00686426  1.4174508  -0.34715858  0.1322693   0.00787458  0.07782911
  0.          0.        ]",0
1,"[-0.00686426  1.4174508  -0.34715858  0.1322693   0.00787458  0.07782911
  0.          0.        ]",0,0.233305555984202,"[-0.01029663  1.4198278  -0.34717098  0.10562404  0.01176334  0.07778205
  0.          0.        ]",0
1,"[-0.01029663  1.4198278  -0.34717098  0.10562404  0.01176334  0.07778205
  0.          0.        ]",0,0.11421752477176,"[-0.01372919  1.4216051  -0.34718245  0.07895181  0.01565161  0.07777239
  0.          0.        ]",0
1,"[-0.01372919  1.4216051  -0.34718245  0.07895181  0.01565161  0.07777239
  0.          0.        ]",0,-0.016415466632935,"[-0.01716194  1.4227824  -0.34719396  0.05228234  0.01953927  0.07776021
  0.          0.        ]",0
1,"[-0.01716194  1.4227824  -0.34719396  0.05228234  0.01953927  0.07776021
  0.          0.        ]",0,-0.155069162396046,"[-0.02059469  1.4233601  -0.34720546  0.02561298  0.02342632  0.07774787
  0.          0.        ]",0
1,"[-0.02059469  1.4233601  -0.34720546  0.02561298  0.02342632  0.07774787
  0.          0.        ]",0,-0.298752766531891,"[-2.4027538e-02  1.4233377e+00 -3.4721690e-01 -1.0564614e-03
  2.7312744e-02  7.7735737e-02  0.0000000e+00  0.0000000e+00]",0
1,"[-2.4027538e-02  1.4233377e+00 -3.4721690e-01 -1.0564614e-03
  2.7312744e-02  7.7735737e-02  0.0000000e+00  0.0000000e+00]",0,-0.444089209778497,"[-0.02746058  1.4227157  -0.3472283  -0.02772597  0.03119859  0.07772353
  0.          0.        ]",0
1,"[-0.02746058  1.4227157  -0.3472283  -0.02772597  0.03119859  0.07772353
  0.          0.        ]",0,-0.587488479415754,"[-0.0308938   1.4214936  -0.34723967 -0.05439553  0.03508381  0.07771139
  0.          0.        ]",0
1,"[-0.0308938   1.4214936  -0.34723967 -0.05439553  0.03508381  0.07771139
  0.          0.        ]",0,-0.72554449026913,"[-0.03432703  1.4196719  -0.347251   -0.08106516  0.03896841  0.07769928
  0.          0.        ]",0
1,"[-0.03432703  1.4196719  -0.347251   -0.08106516  0.03896841  0.07769928
  0.          0.        ]",0,-0.855300195294575,"[-0.03776045  1.4172504  -0.3472623  -0.10773485  0.04285243  0.07768726
  0.          0.        ]",0
1,"[-0.03776045  1.4172504  -0.3472623  -0.10773485  0.04285243  0.07768726
  0.          0.        ]",0,-0.974412698605874,"[-0.04119396  1.4142289  -0.34727353 -0.13440463  0.04673584  0.07767527
  0.          0.        ]",0
